product_part_uuid,part/component,product category,product subcategory,product line
3d6a1f7b-8b40-47bd-a71b-ca2f19daed11,"Electrical generators and starters","Airframe and Structural Components","Control surfaces (ailerons, elevators, rudder)",
d1dbed82-bb92-48aa-b631-c02b93649504,"Circuit breakers and fuses","Power and Energy System","Wiring and electrical connectors",
69960ca1-ddec-453c-bbff-9cca41930670,"Wiring harnesses and connectors","Power and Energy System","Wiring and electrical connectors",
58b25b74-1adb-48a5-8ee7-6ee3f6bff480,"Terrain awareness systems","Safety and Emergency Systems","Obstacle avoidance system (OAS)",
1963da3e-062e-4a1d-bb4e-d86b4a8d05b6,"Traffic collision avoidance systems","Safety and Emergency Systems","Obstacle avoidance system (OAS)",
b4de1bbd-4295-4eff-8510-2de69783d6a1,"Engine health monitoring systems","Ground Control Station (GCS) and Communication","Data link system (telemetry, command and control)",
da4b5666-e9d8-418d-9e22-5e9422c231b9,"Vibration monitoring systems","Avionics and Flight Control System","Sensors (accelerometers, gyroscopes, magnetometers, GPS)",
39ce2692-c3a8-4391-a6d6-7c4558c35ab9,"Noise reduction systems","Payload and Mission Equipment","Environmental insulation",
485d666e-f74b-4651-9a6c-aa49b0583a0e,"Forward Panel","Airframe and Structural Components","Frame Panel",
cfb2822f-5949-4825-b0f0-cf5c731a1640,"Rear Panel","Airframe and Structural Components","Frame Panel",
1040b307-06b4-4b3c-a10f-be89d0210a4a,"Main Panel","Airframe and Structural Components","Frame Panel",
576c60af-f26d-47e5-bfa2-e77503810195,"Left Panel","Airframe and Structural Components","Frame Panel",
29145194-5c3d-467a-a5a5-2ba3428b369f,"Right Panel","Airframe and Structural Components","Frame Panel",
5226755b-9afc-4a66-b08d-1ea161f1adb6,"Insulation and soundproofing materials","Payload and Mission Equipment","Environmental insulation",
4cd8d3af-26ba-456d-b6fe-4ac39d590ed9,"Firewalls and heat shields","Payload and Mission Equipment","Environmental insulation",
c7af4b7f-6872-4426-a56c-5f99b0e5d525,"Engine mounts and isolators","Airframe and Structural Components","Wings (fixed or detachable)",
39b9f517-6777-4b50-96a9-39ca93bc29e3,"Vibration dampers and isolators","Payload and Mission Equipment","Environmental insulation",
e931503f-4022-4f9c-9092-b15c552d7590,"Aeroelastic tailoring components","Airframe and Structural Components","Drag Reduction System",
2626337e-ba12-4b33-a68e-c5d193052b34,"Drag reduction systems (fairings, seals)","Payload and Mission Equipment","Environmental insulation",
0daf6ae6-3b83-43ea-baed-39aa0eef3e2c,"Ice protection systems (bleed air, electro-thermal)","Airframe and Structural Components","Environmental protection (weather sealing, insulation)",
c7397fa1-00f2-4df3-a22f-ba2073fac041,"Rain and dust protection systems","Airframe and Structural Components","Environmental protection (weather sealing, insulation)",
